ExportID,InvoiceID,ExporterName,City,Port,DestinationCountry,ProductCategory,ProductSubcategory,HSCode,UnitPriceUSD,Quantity,UnitType,TotalValueUSD,ExportDate,ShipmentMode,ContainerNumber,PaymentTerm,TradeTerm,Currency
EXP-PK-200000,INV-PK-100000,Sindh Agro Exports,Karachi,Port Qasim,China,Sports Goods,Football,9506,12.49,4754,pcs,59377.46,2023-10-13,Land,,LC (Letter of Credit),FOB,USD
EXP-PK-200001,INV-PK-100001,Balochistan Spices Co.,Hyderabad,Port Qasim,USA,Textiles,Cotton Yarn,5205,6.07,299,bales,1814.93,2023-07-11,Sea,PK40495,LC (Letter of Credit),FOB,USD
EXP-PK-200002,INV-PK-100002,Northern Fruits Exports,Hyderabad,Port Qasim,China,Surgical,Surgical Instruments,9031,39.64,788,sets,31236.32,2024-07-23,Air,,TT (Telegraphic Transfer),CIF,USD
EXP-PK-200003,INV-PK-100003,Lahore Leatherworks,Multan,Multan Airport,UAE,Sports Goods,Football,9506,3.63,4332,pcs,15725.16,2024-11-20,Sea,PK22156,Cash Against Documents,FOB,USD
EXP-PK-200004,INV-PK-100004,Lahore Leatherworks,Gwadar,Gwadar Port,Bangladesh,Agriculture,Rice (Basmati),1006,2.0,14190,kg,28380.0,2023-03-30,Land,,Cash Against Documents,FOB,USD
EXP-PK-200005,INV-PK-100005,Gwadar Logistics Exports,Lahore,Inland (Landi Kotal),Afghanistan,Agriculture,Rice (Basmati),1006,0.55,19401,kg,10670.55,2025-01-10,Land,,TT (Telegraphic Transfer),FOB,USD
EXP-PK-200006,INV-PK-100006,PakTex Exporters Co.,Sialkot,Sialkot Airport,Saudi Arabia,Textiles,Bed Linen,6302,6.79,1069,pcs,7258.51,2024-04-21,Sea,PK59823,Open Account,CIF,USD
EXP-PK-200007,INV-PK-100007,Lahore Leatherworks,Faisalabad,Inland (Faisalabad Depot),Germany,Agriculture,Mangoes (fresh),0804,0.95,3749,kg,3561.55,2024-03-05,Land,,Open Account,FOB,USD
EXP-PK-200008,INV-PK-100008,Balochistan Spices Co.,Faisalabad,Inland (Faisalabad Depot),Afghanistan,Leather Goods,Footwear,6403,43.47,2628,pairs,114239.16,2024-05-16,Sea,PK70589,Cash Against Documents,CIF,USD
EXP-PK-200009,INV-PK-100009,Northern Fruits Exports,Sialkot,Sialkot Airport,Germany,Tobacco,Processed Tobacco,2403,2.44,5895,kg,14383.8,2023-04-25,Sea,PK14207,Open Account,CIF,USD
